N‰ringsv‰rden per 100 gram livsmedel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Livsmedelsnamn;Livsmedelsnummer;Energi (kJ)(kJ);Energi (kJ)(kJ);Protein(g);Fett(g);Kolhydrater(g);Fibrer(g);Salt(g);Aska(g);Vatten(g);Alkohol(g);Monosackarider(g);Disackarider(g);Sackaros(g);Fullkorn totalt(g);Summa m‰ttade fettsyror(g);Fettsyra 4:0-10:0(g);Fettsyra 12:0(g);Fettsyra 14:0(g);Fettsyra 16:0(g);Fettsyra 18:0(g);Fettsyra 20:0(g);Summa enkelom‰ttade fettsyror(g);Fettsyra 16:1(g);Fettsyra 18:1(g);Summa flerom‰ttade fettsyror(g);Summa n-6 fettsyror(g);Fettsyra 18:2(g);Fettsyra 20:4(g);Summa n-3 fettsyror(g);Fettsyra 18:3(g);Summa lÂnga n-3 fettsyror(g);EPA (Fettsyra 20:5)(g);DPA (Fettsyra 22:5)(g);DHA (Fettsyra 22:6)(g);Summa transfettsyror(g);Kolesterol(mg);Vitamin A();Retinol(µg);beta-Karoten(µg);Vitamin D(µg);Vitamin E(mg);Vitamin K(µg);Tiamin(mg);Riboflavin(mg);Vitamin C(mg);Niacin(mg);Niacinekvivalenter();Vitamin B6(mg);Vitamin B12(µg);Fosfor(mg);Folat(µg);Jod(µg);Avfall (skal etc.)(%);J‰rn(mg);Kalcium(mg);Kalium(mg);Magnesium(mg);Natrium(mg);Selen(µg);Zink(mg)
Grahamsgrˆt;676;262;63;1,9;0,5;11,5;2,1;0,6;0,9;83,1;0;0;0,1;0,1;19;0,1;0;0;0;0,1;0;0;0,1;0;0,1;0,2;;0,2;0;;0;;0;0;0;0;0;0;0;0;0;0,3;;0,06;0,02;0;0,8;1,1;0,04;0;67;6;33;0;0,95;8;64;25;257;0,6;0,44
Grahamsmjˆl fullkorn vete;1935;1385;331;10;2,5;60,7;11,3;0;1,5;14;0;0,2;0,5;0,5;100;0,3;0;0;0;0,3;0;0;0,4;0;0,4;1,1;;1;0;;0,1;;0;0;0;0;0;0;0;0;0;1,4;;0,4;0,13;0;4;5,7;0,35;0;350;43;2;0;5;35;380;130;3;3,4;2,3
Grahamsscones fullkorn;186;1192;285;6,6;10,8;38,2;3,7;1,4;2,8;37,8;0;0,1;2;0,2;27;5,3;0,5;0,3;0,6;3;0,7;0;3,2;0,1;3,2;1,6;0,3;1,2;0;0,1;0,3;0;0;0;0;0,2;15,1;88;35;23;0,66;1,3;1;0,25;0,11;0;2,1;3,3;0,19;0,12;378;21;42;0;1,66;219;191;46;557;2,2;1,04
Granat‰pple;520;233;56;0,7;0,6;7;10;0;0,7;81;0;9;1;1;0;0,1;0;0;0;0,1;0;0;0,2;0;0,2;0,1;;0,1;0;;0;0;0;0;0;0;0;3;0;40;0;0,9;;0,03;0,03;6;0,3;0,4;0,1;0;8;10;;44;0,3;3;260;3;3;1;0,2
Grapefrukt;521;150;36;0,7;0,1;7;1,9;0;0,3;90;0;4,8;1,7;1,7;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;;0;0;0;0;0;1;0;6;0;0,3;;0,04;0,02;39;0,3;0,4;0,04;0;8;10;0;51;0,1;12;148;11;2;0,2;0,1
Grapefrukt konserv m l‰ttsˆt lag;630;265;63;0,6;0,1;14,6;0,4;0;0,3;84;0;13,6;1,9;1,9;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;;0;0;0;0;0;0;0;0;0;0,2;;0,04;0,02;22;0,2;0,3;0,02;0;10;8;;0;0,4;14;129;10;2;0,2;0,1
Grapefruktjuice f‰rskpressad;649;165;39;0,5;0,1;8,8;0,4;0;0,2;90;0;4,7;2,5;2,5;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;;0;0;0;0;0;4;0;48;0;0,3;;0,04;0,02;38;0,2;0,3;0,02;0;15;8;0;0;0,2;9;162;12;1;0,2;0,1
Grat‰ngsÂs;1986;519;124;4;9,2;6,5;0,1;2,4;3;77,2;0;0;2,4;0;0;3,3;0,3;0,1;0,4;1,7;0,6;0;3,8;0,1;3,5;1,4;0,8;1;0;0,3;0,3;0;0;0;0;0,2;47,4;74;71;38;0,5;1,7;8;0,06;0,13;0;0,5;1,4;0,06;0,41;86;17;63;1;0,32;71;104;11;962;3,3;0,43
Grat‰ngsÂs med ost;2163;583;139;6;10;6,5;0,1;2;2,7;74,7;0;0;2,3;0;0;4,1;0,5;0,2;0,6;2;0,7;0;3,8;0,1;3,6;1,3;0,7;0,9;0;0,3;0,3;0;0;0;0;0,2;47,5;85;77;92;0,34;1,6;7;0,06;0,14;0;0,3;1,7;0,06;0,51;123;20;59;1;0,28;136;127;13;784;3,9;0,66
GravlaxsÂs;24;2322;555;1,6;56;13,1;0;0,7;1,3;28;0;0,8;9,5;9,5;0;8,2;0;0;0;5,8;1,9;0,2;13,4;0;13,2;32;;28;0;;4;;0;0;0;;0;35;0;420;0;8;;0,01;0,02;10;0,1;0,4;0,02;0;44;0;;0;1,9;58;79;32;275;0;0,1
GravlaxsÂs hovm‰starsÂs;23;1821;435;2,5;42,2;12,3;1;1,7;2,4;39,6;0;1,4;7,6;7,6;0;2,9;0;0;0;1,8;0,7;0,2;25,8;0,1;24,1;11,5;7,5;7,8;0;3,2;3,6;0;0;0;0;0,3;0;58;0;700;0;11,3;51;0,06;0,13;11;0,4;0,8;0,05;0;71;6;52;2;1,13;87;177;47;664;2;0,52
Grekisk sallad;529;404;97;3,1;7,7;3,4;1,2;1,2;2;82,6;0;2;0,4;0,3;0;2,2;0,2;0,1;0,2;1,2;0,4;0;4,4;0,1;4,3;0,6;0,3;0,6;0;0;0,1;0;0;0;0;0;12,2;33;17;188;0,02;1;7;0,03;0,05;22;0,3;1;0,11;0,18;71;15;16;5;0,38;100;161;12;485;0,5;0,52
Grekisksallad;532;322;77;2,9;6,1;2;1,4;1,2;1,8;85,7;0;1,8;0,2;0;0;4,1;0,3;2;0,7;0,6;0,5;0;1,1;0;1,1;0,5;;0,5;0;;0,1;0;0;0;0;;2,3;10;7;120;0,1;0,9;21;0,02;0,05;5;0,2;0,9;0,08;0,25;60;15;8;0;0,2;69;153;10;466;1,8;0,27
Grillkorv fett 15% ;1508;898;215;11;15;9,2;0;2;2,9;61,9;0;0;0;0;0;5,8;0;0;0,3;3,5;1,8;0;7;0,5;6,2;1,3;;1,1;0;;0,2;0;0;0;0;;65;9;8;8;0,1;0,1;;0,08;0,11;0;1;3;0,07;0,46;129;4;;0;1,2;50;190;12;800;2;1,7
Grillkorv fett 18% ;1515;1029;246;11,4;18,2;9,5;0;1,9;2,9;58;0;0;0;0;0;6,7;0;0;0,3;4,1;2,1;0,1;8,8;0,7;7,8;1,9;;1,4;0,1;;0,1;;0;0;0,1;;65;11;10;8;0,2;0,3;;0,16;0,22;0;3,1;5,2;0,15;1,1;129;4;;0;1,2;50;190;12;770;2;1,7
GrillsÂs;1971;417;100;1,5;6,9;8;0;2;2,7;80,9;0;0,5;1,1;1,1;0;0,9;0;0;0;0,6;0,1;0;1,6;0;1,5;4,1;;3,5;0;;0,7;;0;0;0;;0;0;0;0;0;0;;0,01;0,01;0;0,3;0,6;0;0;20;0;;0;0,8;21;174;5;815;0;0,2
Gris bacon;1003;1441;345;13,4;32,8;0;0;2,1;3,2;50,6;0;0;0;0;0;13,7;0;0;0,5;8,5;4,5;0,1;14,8;0,8;13,4;2,8;;2,3;0,1;;0,2;;0;0;0;;58;9;9;0;0,48;0,4;;0,37;0,1;0;2,8;5,2;0,14;0,93;142;2;1;0;0,6;7;190;15;820;8;1,15
Gris blod rÂ;1423;304;73;16,6;0,4;0,4;0;0,5;1,6;81;0;0,1;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0,2;;0,1;0;;0;;0;0;0;;40;28;28;0;0,1;0,4;;0,09;0,03;0;0,6;3,6;0,01;0,6;62;4;5;0;39,5;7;205;5;205;14;0,3
Gris bog rÂ;969;574;137;18,5;7;0;0;0,1;1,1;73,4;0;0;0;0;0;3;0;0;0,1;1,8;1,1;0;2,9;0,2;2,5;0,8;;0,6;0;;0;;0;0;0;0;58;9;9;0;0,57;0,4;;0,92;0,39;0;6,1;9,5;0,52;0,63;160;6;1;0;1,5;7;373;27;44;11;2,8
Gris bog stekt ;1018;682;163;22;8,3;0;0;0,4;1,6;68,1;0;0;0;0;0;3,6;0;0;0,2;2,1;1,2;0;3,4;0,3;3;0,9;;0,7;0;;0;;0;0;0;0;69;11;11;0;0,68;0,5;;0,77;0,37;0;7,3;11,3;0,49;0,6;191;5;14;0;1,79;9;444;32;154;13,1;3,33
Gris bogbladsstek rÂ;981;574;137;18,5;7;0;0;0,2;1,1;73,4;0;0;0;0;0;3;0;0;0,1;1,8;1,1;0;2,9;0,2;2,5;0,8;;0,6;0;;0;;0;0;0;0;58;9;9;0;0,57;0,4;;0,92;0,39;0;6,1;9,5;0,52;0,63;160;6;;27;1,5;7;373;27;65;11;2,8
Gris flintastek m svÂl rÂ;987;801;191;18,8;13;0;0;0,2;1,1;67,1;0;0;0;0;0;5,6;0;0;0,2;3,3;2;0;5,3;0,4;4,7;1,4;;1,1;0;;0,1;;0;0;0,1;0;58;9;9;0;0,57;0,4;;0,91;0,36;0;5,6;9;0,54;0,68;182;7;;25;1,48;6;325;27;62;10;2,9
Gris fl‰sk ben m kˆtt kokt;1022;940;225;20,6;15,9;0;0;1,1;2,1;61,3;0;0;0;0;0;6,9;0;0;0,3;4,1;2,4;0;6,5;0,5;5,8;1,8;;1,4;0;;0,1;;0;0;0,1;0;67,5;10;10;0;0,66;0,5;;0,74;0,29;0;6,5;10,3;0,31;0,51;212;6;49;81;1,73;14;363;32;453;11,6;3,37
Gris fl‰sk filÈ skivor stekt;1023;534;128;24,6;3,1;0;0;0,4;1,8;70,4;0;0;0;0;0;1,1;0;0;0;0,7;0,4;0;1,4;0,1;1,2;0,3;;0,2;0;;0;;0;0;0;0;59,8;11;11;0;0,68;0,4;;0,69;0,24;0;10,2;14,7;0,52;0,73;244;3;13;0;1,74;6;446;32;161;14,4;2,03
Gris fl‰sk f‰rs fett 20% rÂ;980;1012;242;16;20;0;0;0,1;1;63;0;0;0;0;0;8,6;0;0;0,4;5,1;3;0,1;8,2;0,7;7,3;2,2;;1,7;0,1;;0,1;;0;0,1;0,1;0;58;9;9;0;0,48;0,4;;0,62;0,23;0;3,7;6,6;0,35;0,65;182;2;;0;0,83;7;325;24;57;5,8;2,9
Gris fl‰sk f‰rs fett 8% rÂ;992;602;144;18;8;0;0;0,2;1,1;72,9;0;0;0;0;0;3,5;0;0;0,1;2,1;1,2;0;3,3;0,3;2,9;0,9;;0,7;0;;0;;0;0;0;0;58;9;9;0;0,57;0,4;;0,9;0,29;0;8,8;12,1;0,54;0,6;204;3;;0;1,36;7;373;27;66;10;2,2
Gris fl‰sk karrÈ skivor stekt;1024;845;202;21;13,2;0;0;0,4;1,4;64,4;0;0;0;0;0;5,7;0;0;0,2;3,4;2;0;5,4;0,4;4,8;1,5;;1,1;0;;0,1;;0;0;0;0;68,4;11;11;0;0,67;0,5;;0,75;0,34;0;6,6;10,4;0,51;0,64;215;6;13;41;1,75;13;383;32;168;11,8;3,42
Gris fl‰sk karrÈ stekt u steksky;1055;973;233;19,6;17,3;0;0;1,2;1,8;61,3;0;0;0;0;0;7,5;0;0;0,3;4,4;2,6;0,1;7,1;0,6;6,3;1,9;;1,5;0,1;;0,1;;0;0,1;0,1;;98;12;12;0;1;0,3;;0,56;0,34;0;4,4;8;0,32;0,7;210;5;;0;2,3;14;355;27;465;3;3,7
Gris fl‰sk kotlett fett bortskuret rÂ;982;430;103;21,6;1,7;0;0;0,1;1,3;75,4;0;0;0;0;0;0,6;0;0;0;0,4;0,2;0;0,8;0,1;0,7;0,2;;0,1;0;;0;;0;0;0;0;50;9;9;0;0,57;0,4;;0,83;0,25;0;8,5;12,5;0,54;0,76;204;3;;15;1,45;6;373;27;53;12;1,7
Gris fl‰sk kotlett fettkant 2 mm rÂ;983;562;134;20;6;0;0;0,2;1,2;72,8;0;0;0;0;0;2,6;0;0;0,1;1,5;0,9;0;2,5;0,2;2,2;0,7;;0,5;0;;0;;0;0;0;0;58;9;9;0;0,57;0,4;;0,9;0,29;0;8,8;12,5;0,54;0,6;204;3;2;20;1,36;7;373;27;76;10;2,2
Gris fl‰sk kotlett fettkant 5 mm rÂ;971;774;185;19,4;12;0;0;0,2;1,1;67,5;0;0;0;0;0;5,2;0;0;0,2;3,1;1,8;0;4,9;0,4;4,4;1,3;;1;0;;0,1;;0;0;0,1;0;58;9;9;0;0,57;0,4;;0,91;0,36;0;5,6;9,2;0,53;0,68;188;7;;20;1,48;6;325;27;62;10;2,9
Gris fl‰sk kotlett stekt;1025;906;217;22,7;14,1;0;0;0,4;1,5;61,7;0;0;0;0;0;6,1;0;0;0,3;3,6;2,1;0;5,8;0,5;5,1;1,6;;1,2;0;;0,1;;0;0;0,1;0;67,9;11;11;0;0,67;0,5;;0,75;0,34;0;6,5;10,7;0,5;0,64;220;6;13;23;1,74;7;381;32;173;11,7;3,4
Gris fl‰sk kˆtt grillat;1028;765;183;22,7;10,3;0;0;0,4;1,5;65,5;0;0;0;0;0;4,4;0;0;0,2;2,6;1,5;0;4,2;0,3;3,7;1,1;;0,9;0;;0;0;0;0;0;0;67,4;11;11;0;0,66;0,5;;0,65;0,26;0;7,9;12,1;0,46;0,64;211;4;13;20;1,49;11;400;29;174;11,8;2,86
Gris fl‰sk l‰gg u svÂl kokt;1027;624;149;23,3;6,2;0;0;1,2;2,2;68,4;0;0;0;0;0;2,6;0;0;0,1;1,6;0,9;0;2,5;0,2;2,2;0,7;;0,5;0;;0;0;0;0;0;0;71;11;11;0;0,67;0,5;;0,75;0,24;0;10,4;14,7;0,32;0,46;190;2;51;77;1,62;10;424;32;483;11,8;2,6
Gris fl‰sk sida m svÂl i bit rÂ;985;1121;268;17,2;22,4;0;0;0,2;0,9;59,5;0;0;0;0;0;9,7;0;0;0,4;5,7;3,4;0,1;9,2;0,8;8,1;2,5;;1,9;0,1;;0,1;;0;0,1;0,1;0;67;9;9;0;0,48;0,4;;0,48;0,18;0;2,8;6;0,26;0,65;200;2;;0;0,5;6;200;14;60;6,9;3,6
Gris fl‰skben rÂ;975;808;193;17,7;13,7;0;0;0,1;1;67,6;0;0;0;0;0;5,9;0;0;0,3;3,5;2,1;0;5,6;0,5;5;1,5;;1,2;0;;0,1;;0;0;0,1;0;58;9;9;0;0,57;0,4;;0,91;0,36;0;5,6;8,8;0,53;0,68;182;7;;70;1,48;11;325;27;57;10;2,9
Gris fl‰skfilÈ rÂ;970;446;107;20,6;2,6;0;0;0,1;1,3;75,5;0;0;0;0;0;1;0;0;0;0,6;0,3;0;1,2;0,1;1;0,3;;0,2;0;;0;;0;0;0;0;50;9;9;0;0,57;0,3;;0,83;0,25;0;8,5;12,3;0,54;0,76;204;3;;0;1,45;5;373;27;49;12;1,7
Gris fl‰skf‰rs fett 15% rÂ;4583;843;202;16,8;15,1;0;0;0,2;1;67,1;0;0;0;0;0;6,5;0;0;0,3;3,9;2,3;0;6,2;0,5;5,5;1,7;;1,3;0;;0,1;;0;0;0,1;0;58;9;9;0;0,52;0,4;;0,74;0,25;0;5,8;8,9;0,43;0,63;191;2;;0;1,05;7;345;25;61;7,5;2,61
Gris fl‰skkarrÈ rÂ;978;717;171;17,8;11,2;0;0;0,1;1;70;0;0;0;0;0;4,8;0;0;0,2;2,9;1,7;0;4,6;0,4;4,1;1,2;;1;0;;0,1;;0;0;0;0;58;9;9;0;0,57;0,4;;0,91;0,36;0;5,6;8,9;0,54;0,68;182;7;;35;1,48;11;325;27;57;10;2,9
Gris fl‰skkotlett panerad stekt;1065;1109;265;19,1;17,8;7,3;0,4;1,4;2,3;53,1;0;0,1;0,2;0;1;5,5;0;0;0,2;3,3;1,8;0,1;8,3;0,4;7,6;3;1,1;2,2;0;0,4;0,5;0;0;0;0,1;0;78,8;45;44;12;0,93;2,4;8;0,6;0,3;0;5,2;8,8;0,4;0,58;200;15;59;19;1,62;15;322;30;557;10,9;2,8
Gris fl‰skkˆtt kokt;1019;681;163;22;8,3;0;0;0,6;1,8;67,9;0;0;0;0;0;3,6;0;0;0,2;2,1;1,2;0;3,4;0,3;3;0,9;;0,7;0;;0;;0;0;0;0;68,8;11;11;0;0,68;0,5;;0,76;0,32;0;7,3;11,3;0,31;0,49;190;5;26;0;1,78;9;425;32;250;13,1;3,32
Gris fl‰skl‰gg u svÂl putsad rÂ;984;527;126;19,7;5,2;0;0;0,2;1;74,1;0;0;0;0;0;2,2;0;0;0,1;1,3;0,8;0;2,1;0,2;1,9;0,6;;0,5;0;;0;0;0;0;0;0;60;9;9;0;0,57;0,4;;0,9;0,29;0;8,8;12,4;0,54;0,6;160;3;1;65;1,36;7;373;27;76;10;2,2
Gris fˆtter kokta;1030;996;238;27;14,5;0;0;1,1;1,8;56,7;0;0;0;0;0;6,3;0;0;0,3;3,7;2,2;0;6;0,5;5,3;1,6;;1,2;0;;0,1;;0;0;0,1;0;66,7;10;10;0;0,66;0,5;;0,03;0,08;0;1,3;6,2;0,18;0,45;64;3;48;104;0,93;69;304;8;454;9,2;1,96
Gris fˆtter rÂ;973;866;207;23,5;12,6;0;0;0,2;0,7;63,2;0;0;0;0;0;5,4;0;0;0,2;3,2;1,9;0;5,2;0,4;4,6;1,4;;1,1;0;;0,1;;0;0;0,1;0;58;9;9;0;0,57;0,4;;0,04;0,1;0;1,1;5,4;0,32;0,6;55;4;;90;0,8;59;275;7;62;8;1,7
Gris grytbitar rÂ;977;687;164;19,3;9,7;0;0;0,1;1;70;0;0;0;0;0;4,2;0;0;0,2;2,5;1,5;0;4;0,3;3,5;1,1;;0,8;0;;0,1;;0;0;0;0;58;9;9;0;0,57;0,4;;0,91;0,36;0;5,6;9,1;0,36;0,9;188;7;;0;1,48;7;373;27;44;10;2,9
Gris hj‰rta rÂ;1448;499;119;16,5;5,9;0;0;0,3;1;76,6;0;0;0;0;0;1,7;0;0;0;0,8;0,7;0;0,9;0,1;0,9;2,1;;1,6;0,5;;0;;0;0;0;0;150;7;7;0;0,7;0,6;;0,44;1;3;6,5;9,5;0,5;2,7;195;9;1;10;4,2;5;300;21;107;22;2,1
Gris kassler kotlettrad rˆkt;1006;442;106;20,7;2,2;0,5;0;4,3;5,6;71;0;0;0;0;0;0,8;0;0;0;0,5;0,3;0;1;0,1;0,9;0,2;;0,2;0;;0;;0;0;0;;57;9;9;0;0,57;0,4;;0,42;0,2;0;3,3;7,1;0,4;0,9;220;2;;0;0,7;10;313;22;1725;5,8;3,6
Gris kassler kotlettrad rˆkt stekt el v‰rmd;1016;476;114;22,3;2,4;0,5;0;4,6;6;68,8;0;0;0;0;0;0,9;0;0;0;0,5;0,3;0;1,1;0,1;0,9;0,2;;0,2;0;;0;;0;0;0;;61,4;10;10;0;0,61;0,4;;0,32;0,17;0;3,6;7,6;0,34;0,78;237;2;;0;0,75;11;337;24;1857;6,2;3,88
Gris lever rÂ;1449;551;132;22;3,4;3;0;0,2;1,6;70;0;0;0;0;0;1,1;0;0;0;0,5;0,6;0;0,5;0;0,5;0,9;;0,4;0,4;;0;;0;0,1;0,1;0;300;13001;13000;11;0,2;0,6;;0,31;6,3;25;14,2;18,2;0,85;40;385;1000;3;8;18,7;8;270;32;86;50;7,4
Gris njure rÂ;1450;430;103;16,7;3,8;0,3;0;0,4;1,2;78;0;0;0;0;0;1,2;0;0;0;0,7;0,5;0;1;0,1;0,9;0,6;;0,3;0,2;;0;;0;0;0;0;320;116;115;10;1;0,5;;0,36;4;11;8;11,1;0,44;17;270;42;4;10;6;10;220;20;158;190;2,2
Gris picnicbog rÂ ;976;505;121;19,5;4,7;0;0;0,2;1,1;74,7;0;0;0;0;0;2;0;0;0,1;1,2;0,7;0;1,9;0,2;1,7;0,5;;0,4;0;;0;;0;0;0;;50;9;9;0;0,57;0,4;;0,92;0,39;0;6,1;9,7;0,52;0,63;204;6;;0;1,5;7;373;27;76;11;2,8
Gris revbensspj‰ll rÂ;972;808;193;17,7;13,7;0;0;0,1;1;67,6;0;0;0;0;0;5,9;0;0;0,3;3,5;2,1;0;5,6;0,5;5;1,5;;1,2;0;;0,1;;0;0;0,1;0;58;9;9;0;0,57;0,4;;0,91;0,36;0;5,6;8,8;0,53;0,68;182;7;;15;1,48;11;325;27;57;10;2,9
Gris revbensspj‰ll ugnsstekt grillat;1045;1033;247;19;17,8;3;0;0,8;1,8;58,4;0;2,4;0,2;0,1;0;6,5;0;0;0,3;3,9;2,2;0,1;8;0,5;7,2;2,5;0,6;1,9;0;0,3;0,4;0;0;0;0,1;0;61,5;10;10;0;0,6;1,3;4;0,68;0,31;0;6;9,5;0,45;0,58;198;7;11;16;1,66;13;359;30;328;10,6;3,11
Gris sidfl‰sk el stekfl‰sk rimmat i skivor rÂ;991;1477;353;11,6;34,6;0;0;3;3,4;50,4;0;0;0;0;0;14,9;0;0;0,6;8,9;5,2;0,1;14,2;1,2;12,6;3,8;;3;0,1;;0,2;0,3;0;0,1;0,1;0;72;9;9;0;0,48;0,4;;0,38;0,12;0;2,3;4,4;0,28;0,4;204;2;1;0;0,5;5;190;16;1200;6,9;3,6
Gris sidfl‰sk rimmat stekt;1020;1487;355;16,5;32,6;0;0;4,3;4,9;46;0;0;0;0;0;14,1;0;0;0,6;8,4;4,9;0,1;13,4;1,1;11,8;3,6;;2,8;0,1;;0,2;0,2;0;0,1;0,1;0;67,8;13;13;0;0,68;0,6;;0,38;0,14;0;3,3;6,3;0,32;0,46;291;2;1;0;0,71;7;271;23;1712;9,8;5,14
Gris sidfl‰sk rˆkt;1011;1649;394;15,4;37,5;0;0;2,1;3,6;43,5;0;0;0;0;0;14,4;0;0;0,5;9;4,7;0,1;17,5;1,3;15,7;3,8;;2,9;0,2;;0,2;;0;0,1;0,1;;67;2;2;0;0,63;0,3;;0,48;0,16;0;3;5,8;0,15;0,6;90;2;;10;0,5;4;200;15;820;5;1,7
Gris skinka fett 3% rˆkt;1010;487;116;22,1;3;0;0;3,6;3,7;71,2;0;0;0;0;0;1,1;0;0;0;0,7;0,4;0;1,3;0,1;1,2;0,3;;0,2;0;;0;;0;0;0;0;70;2;2;0;0,63;0,3;;0,42;0,2;0;3,3;7,4;0,4;0,9;205;3;;0;0,7;12;315;22;1440;6;3
Gris skinka fett 6% rˆkt;1009;579;138;21;6;0;0;3,6;4,4;68,6;0;0;0;0;0;2,6;0;0;0,1;1,5;0,9;0;2,5;0,2;2,2;0,7;;0,5;0;;0;;0;0;0;;50;2;2;0;0,63;0,3;;0,75;0,17;0;6,2;10,1;0,39;0,7;172;3;;0;0,7;12;285;17;1440;6;3
Gris skinka fransyska rÂ;989;422;101;19,8;2,3;0;0;0,2;1,2;76,7;0;0;0;0;0;0,8;0;0;0;0,5;0,3;0;1;0,1;0,9;0,2;;0,2;0;;0;;0;0;0;0;50;9;9;0;0,57;0,4;;0,83;0,25;0;8,5;12,2;0,54;0,76;175;3;1;0;1,45;6;373;27;66;12;1,7
Gris skinka innanlÂr rÂ;988;420;100;20,8;1,8;0;0;0,2;1,3;76,1;0;0;0;0;0;0,7;0;0;0;0,4;0,2;0;0,8;0,1;0,7;0,2;;0,1;0;;0;;0;0;0;0;50;9;9;0;0,57;0,4;;0,83;0,25;0;8,5;12,4;0,54;0,76;175;3;;0;1,45;6;373;27;66;12;1,7
Gris skinka italiensk lufttorkad;1008;1027;245;31,9;12,4;1,5;0;4,6;6;48,2;0;0;0;0,1;0;4;0;0;0,2;2,5;1,3;0;5,4;0,3;4,9;2,2;;2;0;;0,1;0;0;0;0;0,2;85,2;8;8;2;0,24;0,1;1;0,76;0,36;0;8,8;14,7;0,63;0,76;236;11;3;0;1,13;14;533;31;1839;25,3;3,43
Gris skinka julskinka fett ca 4,5%  rimmad kokt;1015;542;130;22;4,5;0,1;0;2,8;3,4;70;0;0;0;0;0;1,9;0;0;0,1;1,2;0,7;0;1,9;0,2;1,6;0,5;;0,4;0;;0;;0;0;0;;45;2;2;0;0,63;0,3;;0,8;0,2;0;5,1;9,1;0,37;0,8;196;6;;0;0,7;10;310;15;1130;6;3
Gris skinka julskinka rimmad fett ca 3% rÂ;974;453;108;20,1;3;0;0;3;3,4;73,5;0;0;0;0;0;1,1;0;0;0;0,7;0,4;0;1,3;0,1;1,2;0,3;;0,2;0;;0;;0;0;0;0;38;9;9;0;0,57;0,4;;0,85;0,26;0;8,6;12,3;0,54;0,71;175;3;;0;1,42;6;373;27;1200;11,3;1,87
Gris skinka ytterlÂr rÂ;990;516;123;19,7;4,9;0;0;0,2;1,2;74,2;0;0;0;0;0;2,1;0;0;0,1;1,3;0,7;0;2;0,2;1,8;0,5;;0,4;0;;0;;0;0;0;0;58;9;9;0;0,57;0,4;;0,9;0,29;0;8,8;12,4;0,54;0,6;175;3;;0;1,36;6;373;27;66;10;2,2
Gris skinkstek stekt u steksky fryst;1056;687;164;26,5;6,4;0;0;1,2;1,7;65,4;0;0;0;0;0;2,5;0;0;0,1;1,5;0,8;0;3;0,2;2,7;0,7;;0,5;0;;0;;0;0;0;;93;12;12;0;1;0,3;;0,94;0,39;0;4,7;9,6;0,42;0,6;290;6;;0;1,5;9;330;25;475;3;3
Gris stekfl‰sk sida m svÂl skivor rÂ;986;1057;253;17,1;20,7;0;0;0,2;0,9;61,3;0;0;0;0;0;8,8;0;0;0,4;5,2;3,1;0,1;8,4;0,7;7,4;2,3;;1,8;0,1;;0,1;;0;0,1;0,1;0;67;9;9;0;0,48;0,4;;0,48;0,18;0;2,8;5,9;0,26;0,65;200;2;;0;0,5;6;200;14;60;6,9;3,6
Gris svÂl rÂ;997;1158;277;23,5;20,5;0;0;0;0,5;55,5;0;0;0;0;0;8,6;0;0;0,3;5,3;2,8;0;9,2;0,5;8,4;1,8;;1,5;0;;0,1;;0;0;0;;72;0;0;0;0,1;0,1;;0,07;0,07;0;0,5;4,8;0,02;0,6;26;1;;0;1,4;10;65;1;11;5;0,4
Gris tunga rÂ;1451;698;167;16,5;11,1;0,4;0;0,3;1;71;0;0;0;0;0;3,8;0;0,1;0,2;2,5;1,1;0;5,3;0,4;4,7;1,2;;1,1;0;;0,1;;0;0;0;0;101;9;9;0;0,6;0,5;;0,33;0,42;0;5,3;8,3;0,35;3,7;188;8;1;20;4,5;11;255;18;108;12;2,6
GrodlÂr rÂa frysta;1388;290;69;16,4;0,3;0;0;0,1;1,1;82,2;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;;0;0;;0;;0;0;0;;50;10;10;0;0,5;0,8;;0,14;0,25;0;1,2;4,2;1,2;1;147;10;;35;1,5;18;310;23;55;20;2
Grovt vetemjˆl berik;1940;1446;346;10;2,5;67;5,5;0;1;14;0;0,2;0,3;0,3;0;0,3;0;0;0;0,3;0;0;0,4;0;0,3;1,1;;1;0;;0,1;;0;0;0;0;0;0;0;0;0;1,4;;0,4;0,15;0;4;5,7;0,35;0;230;30;2;0;3;31;250;56;3;1,6;1,1
Gryta hj‰rta grˆnsaker;1462;356;85;6,7;4,6;3,6;1,3;0,4;1;82,8;0;2,1;0,7;0,7;0;1,4;0;0;0,1;0,7;0,5;0;1,9;0,1;1,8;0,6;0,3;0,4;0;0,1;0,1;0;0;0;0;0;55,5;141;7;1357;0,45;0,6;3;0,1;0,2;6;3,2;4,4;0,1;2,42;77;27;1;14;2,12;19;184;13;167;3,3;0,6
